Azonosító	Márka	Alkoholtartalom	Ár	Gyártó
1	Borsodi Világos	4,5	180	Borsodi Sörgyár Kft.
2	Borsodi Bivaly	6,5	250	Borsodi Sörgyár Kft.
3	Soproni 1895	5,3	300	Heineken Hungária Sörgyárak Kft.
4	Soproni	4,5	230	Heineken Hungária Sörgyárak Kft.
5	Arany Ászok	4,3	230	Dreher Sörgyárak Kft.
6	Dreher Bak	7,3	450	Dreher Sörgyárak Kft.
7	Balatoni Világos	3	300	Dreher Sörgyárak Kft.
8	Miller Genuine Draft	4,7	350	Dreher Sörgyárak Kft.
9	Szalon Barna	5,8	250	Pécsi Sörfőzde Zrt.
10	Radler	2,5	480	Pécsi Sörfőzde Zrt.
11	Heineken	5	260	Heineken Hungária Sörgyárak Kft.
12	Soproni Fekete Démon	5,2	340	Heineken Hungária Sörgyárak Kft.
13	Dreher Alkoholmentes	0,5	200	Dreher Sörgyárak Kft.
14	Pilsner Urquell	4,4	220	Dreher Sörgyárak Kft.
15	Dreher Classic	5,2	320	Dreher Sörgyárak Kft.
