Nyelv;2009;2010;2011;2012;2013;2014;2015;2016;2017
angol;43778;44694;41524;34868;31902;28492;33148;34122;24346
arab;4;2;6;1;5;4;10;6;1
bolgár;1;0;0;0;0;0;2;2;2
cigány (beás);41;24;20;11;5;5;3;4;5
cigány (lovári);1631;1513;1262;841;611;590;470;668;762
cseh;4;0;5;1;0;1;1;0;0
dán;1;6;4;4;3;2;3;2;5
eszperantó;3254;3111;3198;1891;2039;1895;1781;1911;1030
finn;14;10;8;2;9;7;5;0;5
francia;1669;1448;1319;1131;850;900;745;823;563
héber;10;6;7;2;2;6;4;2;1
holland;4;8;9;2;5;0;6;2;9
horvát;70;49;38;37;31;19;16;11;30
japán;13;16;25;15;20;16;7;7;12
kínai;7;5;2;2;1;2;2;4;4
latin;136;108;76;64;23;38;40;35;32
lengyel;4;0;0;0;0;1;1;2;4
magyar;44;33;65;50;42;45;48;40;33
német;18794;17633;16756;13064;11943;10949;11920;11764;8354
ógörög;0;3;0;0;0;0;1;0;0
olasz;708;697;649;462;379;354;334;286;245
orosz;213;209;174;135;112;103;105;93;111
portugál;22;2;3;5;1;0;0;1;0
román;30;39;49;48;14;8;14;15;18
ruszin;0;0;0;0;0;0;0;0;1
spanyol;512;574;486;347;282;303;307;410;371
svéd;12;14;9;5;9;10;11;10;12
szerb;17;20;9;17;9;9;9;9;8
szlovák;40;52;43;30;15;16;17;18;16
szlovén;2;1;0;1;2;1;4;0;0
török;8;0;13;11;10;12;7;4;6
újgörög;4;2;4;2;4;2;2;2;8
ukrán;0;0;0;0;0;1;2;2;8
